Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
00:03:00,1.345965E-01,4.391838E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.644643E+02,2.650536E-01,3.494530E+03,3.500095E+03
00:06:00,1.347454E-01,4.395996E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.656976E+02,2.634748E-01,3.474450E+03,3.479148E+03
00:09:00,1.348932E-01,4.400121E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.669310E+02,2.619105E-01,3.454541E+03,3.458150E+03
00:12:00,1.350403E-01,4.404229E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.681643E+02,2.603572E-01,3.434766E+03,3.437274E+03
00:15:00,1.351870E-01,4.408323E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.693977E+02,2.588154E-01,3.415127E+03,3.416618E+03
00:18:00,1.353332E-01,4.412404E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.706310E+02,2.572841E-01,3.395614E+03,3.396184E+03
00:21:00,1.354793E-01,4.416483E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.718644E+02,2.557639E-01,3.376232E+03,3.375963E+03
00:24:00,1.356256E-01,4.420567E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.730978E+02,2.542548E-01,3.356984E+03,3.355944E+03
00:27:00,1.357715E-01,4.424642E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.743311E+02,2.527562E-01,3.337862E+03,3.336105E+03
00:30:00,1.359173E-01,4.428712E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.755645E+02,2.512660E-01,3.318838E+03,3.316414E+03
00:33:00,1.360633E-01,4.432788E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.767978E+02,2.497864E-01,3.299942E+03,3.296892E+03
00:36:00,1.362097E-01,4.436874E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.780312E+02,2.483153E-01,3.281148E+03,3.277512E+03
00:39:00,1.363563E-01,4.440965E+03,3.409414E-02,0.000000E+00,0.000000E+00,3.409414E-02,5.792645E+02,2.468543E-01,3.262474E+03,3.258286E+03
