Time,LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],LIVING_UNIT1::Des Latent Heat Load [W],LIVING_UNIT1::Des Latent Cool Load [W],LIVING_UNIT1::Des Latent Heat Mass Flow [kg/s],LIVING_UNIT1::Des Latent Cool Mass Flow [kg/s],LIVING_UNIT1::Des Heat Load No DOAS [W],LIVING_UNIT1::Des Sens Cool Load No DOAS [W],LIVING_UNIT1::Des Latent Heat Load No DOAS [W],LIVING_UNIT1::Des Latent Cool Load No DOAS [W],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],LIVING_UNIT1:PHOENIX SKY HARBOR INTL AP ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:03:00,3.812916E+03,3.210897E+03,1.345965E-01,2.650536E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221911E+01,4.126666E+01,2.387997E+01,4.188746E+01
00:06:00,3.817135E+03,3.191771E+03,1.347454E-01,2.634748E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221910E+01,4.126262E+01,2.387997E+01,4.188372E+01
00:09:00,3.821322E+03,3.172821E+03,1.348932E-01,2.619105E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221910E+01,4.125673E+01,2.387997E+01,4.187790E+01
00:12:00,3.825490E+03,3.154004E+03,1.350403E-01,2.603572E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221909E+01,4.125072E+01,2.387997E+01,4.187189E+01
00:15:00,3.829644E+03,3.135326E+03,1.351870E-01,2.588154E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221909E+01,4.124531E+01,2.387997E+01,4.186651E+01
00:18:00,3.833786E+03,3.116777E+03,1.353332E-01,2.572841E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221909E+01,4.124061E+01,2.387998E+01,4.186191E+01
00:21:00,3.837926E+03,3.098360E+03,1.354793E-01,2.557639E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221909E+01,4.123650E+01,2.387998E+01,4.185796E+01
00:24:00,3.842070E+03,3.080080E+03,1.356256E-01,2.542548E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221909E+01,4.123289E+01,2.387998E+01,4.185455E+01
00:27:00,3.846205E+03,3.061926E+03,1.357715E-01,2.527562E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221909E+01,4.122971E+01,2.387998E+01,4.185159E+01
00:30:00,3.850335E+03,3.043873E+03,1.359173E-01,2.512660E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221908E+01,4.122689E+01,2.387998E+01,4.184901E+01
00:33:00,3.854471E+03,3.025948E+03,1.360633E-01,2.497864E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221908E+01,4.122442E+01,2.387998E+01,4.184678E+01
00:36:00,3.858617E+03,3.008128E+03,1.362097E-01,2.483153E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221908E+01,4.122226E+01,2.387998E+01,4.184486E+01
00:39:00,3.862769E+03,2.990430E+03,1.363563E-01,2.468543E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221908E+01,4.122038E+01,2.387998E+01,4.184322E+01
00:42:00,3.866927E+03,2.972832E+03,1.365030E-01,2.454017E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221908E+01,4.121876E+01,2.387998E+01,4.184182E+01
00:45:00,3.871091E+03,2.955353E+03,1.366500E-01,2.439588E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.221908E+01,4.121738E+01,2.387998E+01,4.184065E+01
